客户名称;股票代码;报告期;金额(万元)
河南神马尼龙化工有限责任公司;-;2015-12-31;231,731.67
博列麦神马气囊丝贸易(上海)有限公司;-;2015-12-31;29,568.41
上海池安实业有限公司;-;2015-12-31;15,485.04
中国平煤神马集团国际贸易有限公司;-;2015-12-31;14,662.52
河南神马华威塑胶股份有限公司;836171.OC;2017-12-31;8,871.72
美瑞新材料股份有限公司;834779.OC;2017-12-31;8,710.90
南京聚隆科技股份有限公司;300644.SZ;2017-12-31;4,350.05
杭州本松新材料技术股份有限公司;871218.OC;2017-12-31;3,714.41
长虹塑料集团英派瑞塑料股份有限公司;430555.OC;2017-12-31;3,053.98
恒天海龙股份有限公司;000677.SZ;2017-12-31;2,705.46
浙江新力新材料股份有限公司;836231.OC;2017-12-31;2,185.64
浙江洛克新材料股份有限公司;839783.OC;2017-12-31;931.71
山东合信科技股份有限公司;872506.OC;2017-12-31;381.74
