供应商名称;股票代码;报告期;金额(万元)
金春股份;-;2017-12-31;3,698.14
中国石油化工股份有限公司;600028.SH;2017-12-31;2,072.64
无锡兴达;-;2017-12-31;1,948.29
天津碧碧丝克美特制刷有限公司;-;2017-12-31;1,850.53
南通普力马弹性体技术有限公司;-;2017-12-31;1,454.26
