供应商名称;股票代码;报告期;金额(万元)
河冶科技股份有限公司;-;2014-12-31;725.58
江苏省福达特种钢有限公司;-;2014-12-31;609.07
东北特钢集团上海特殊钢有限公司;-;2014-12-31;87.55
