客户名称;股票代码;报告期;金额(万元)
深圳市宏犇贸易有限公司;-;2017-06-30;1,802.37
泸州市万成商贸有限公司;-;2017-06-30;1,573.36
濮阳市曙光物流配送有限公司;-;2017-06-30;1,559.47
四川顺泰行商贸有限公司;-;2017-06-30;1,527.72
郑州市永丰商贸有限公司;-;2017-06-30;1,497.87
大连五佳国际贸易有限公司;-;2017-06-30;1,479.42
成都冠汇通商贸有限公司;-;2017-06-30;1,433.14
宿州市圆睿商贸有限公司;-;2017-06-30;1,395.67
永年县中原市场绍通食品批发门市;-;2017-06-30;1,322.86
亳州市恒畅商贸有限责任公司;-;2017-06-30;1,209.86
新疆帝泉贸易有限公司;-;2017-06-30;1,200.18
淮阳县姚惠副食商贸商行;-;2017-06-30;1,196.60
广州蒙和商贸有限公司;-;2017-06-30;1,184.93
山东省天惠食品有限公司;-;2017-06-30;1,159.57
阜阳市恒德商贸有限公司;-;2017-06-30;1,145.98
邢台鹏润商贸有限公司;-;2017-06-30;1,117.81
北京鑫达天洁商贸有限责任公司;-;2017-06-30;1,075.86
巴中市田缘商贸有限公司;-;2017-06-30;1,071.14
达州市钟盛商贸有限公司;-;2017-06-30;1,050.70
仁寿县欣飞商贸有限公司;-;2017-06-30;1,044.60
