节点类型	原标识	编码
COMPANY	江阴益达能源商贸有限公司	COMP000100000103
COMPANY	中清源环保节能有限公司	COMP000100000104
COMPANY	大唐电力设计研究院	COMP000100000105
COMPANY	哈尔滨亨吉利世界名表经销有限公司	COMP000100000106
COMPANY	深圳市飞亚达科技发展有限公司	COMP000100000107
COMPANY	辽宁亨达锐商贸有限公司	COMP000100000108
COMPANY	商城县协兴新能源开发有限公司	COMP000100000109
COMPANY	厦门科灿信息技术有限公司	COMP000100000110
COMPANY	广东科华恒盛电气智能控制技术有限公司	COMP000100000111
COMPANY	湖州多盛光伏电力有限公司	COMP000100000112
COMPANY	北京科华智慧能源科技有限公司	COMP000100000113
COMPANY	广东科华乾昇云计算科技有限公司	COMP000100000114
COMPANY	漳州耐欧立斯科技有限责任公司	COMP000100000115
COMPANY	威海智创机械设备有限公司	COMP000100000116
COMPANY	无锡华光电力燃料有限公司	COMP000100000117
COMPANY	无锡友联热电股份有限公司	COMP000100000118
COMPANY	无锡新联热力有限公司	COMP000100000119
COMPANY	江阴热电有限公司	COMP000100000120
COMPANY	无锡蓝天燃机热电有限公司	COMP000100000121
COMPANY	国联财务有限责任公司	COMP000100000122
COMPANY	68站有限公司	COMP000100000123
COMPANY	飞亚达销售有限公司	COMP000100000124
COMPANY	上海表业有限公司	COMP000100000125
COMPANY	泉州泰辉光伏电力有限公司	COMP000100000126
COMPANY	漳州科华新能源技术有限责任公司	COMP000100000127
COMPANY	深圳市科华恒盛科技有限公司	COMP000100000128
COMPANY	呼图壁县信昌光伏电力有限公司	COMP000100000129
COMPANY	青岛康虹光伏科技有限公司	COMP000100000130
COMPANY	深圳市康必达控制技术有限公司	COMP000100000131
COMPANY	江西普晶能源科技有限公司	COMP000100000132
COMPANY	中经云数据存储科技(北京)有限公司	COMP000100000133
COMPANY	上海原创精密机床主轴有限公司	COMP000100000134
COMPANY	威海华东重工有限公司	COMP000100000135
COMPANY	浙江龙生汽车部件科技有限公司	COMP000100000136
COMPANY	无锡国联江森自控绿色科技有限公司	COMP000100000137
COMPANY	深圳市亨吉利世界名表中心有限公司	COMP000100000138
COMPANY	时悦汇精品(深圳)有限公司	COMP000100000139
COMPANY	深圳市翔集商贸有限公司	COMP000100000140
COMPANY	宁夏汉南光伏电力有限公司	COMP000100000141
COMPANY	厦门华睿晟智能科技有限责任公司	COMP000100000142
